,,,,,,,,,,,,,,,,
,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,계,,"₩1,376"
010-6785-1568-1 연금(신),,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,"₩11,152","₩9,870","₩10,560","₩9,268","₩11,620","₩13,986","₩14,028","₩13,735","₩13,143","₩11,492","₩11,526","₩16,272",,"₩146,652",,
,,,,,,,,,,,,,,,,
010-6785-1568-2 KB연금,,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,,,,,,,"₩31,500","₩56,908","₩54,366","₩47,396","₩47,396","₩66,912",,"₩304,478",,
ACE 미국나스닥,,,,,,,,"₩9,900",,,"₩11,550",,,"₩21,450",,
,,,,,,,,,,,,,,,,
133-46-000462 연금(구),,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,"₩46,954","₩42,900","₩47,328","₩42,756","₩54,530","₩67,788","₩69,468","₩69,413","₩67,275","₩60,078","₩60,928","₩87,888",,"₩717,306",,
ACE 미국나스닥,,"₩2,100",,,"₩2,000",,,"₩5,700",,,"₩7,105",,,"₩16,905",,
TIGER 미국나스닥,,"₩3,780",,,"₩2,520",,,,,,,,,"₩6,300",,
,,,,,,,,,,,,,,,,
IRP,,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,"₩27,438","₩24,300","₩26,016","₩23,464","₩30,030","₩36,918","₩37,590","₩37,105","₩35,880","₩31,892","₩32,028","₩45,456",,"₩388,117",,
SOL 미국매당미국채혼합50,,,,,,,,,,,"₩19,400","₩15,300",,"₩34,700",,
KB RISE 25-11 회사채,"₩15,180","₩8,880","₩13,500","₩14,220","₩14,240","₩38,070","₩30,710","₩13,920","₩11,700","₩13,950","₩13,050",,,"₩187,420",,
,,,,,,,,,,,,,,,,
계,"₩100,724","₩91,830","₩97,404","₩89,708","₩114,940","₩156,762","₩183,296","₩206,681","₩182,364","₩164,808","₩202,983","₩231,828",,,,
,,,,,,,,,,,,,,,,
직투,,,,,,,,,,,,,계,환산,,
SPLG,,,$0.52,,,$0.74,,,$0.85,,,,$2.11,"₩2,903",,
QQQ(인베스코 QQQ),$0.92,,,$0.52,,,$0.68,,,,$0.61,,$2.73,"₩3,756",,
QQQM(인베스코 나스닥100),,,$0.35,,,$0.40,,,$0.43,,,$0.51,$1.69,"₩2,325",,
SCHD,,,$12.42,,,,$17.68,,,$16.89,,$18.77,$65.76,"₩90,486",,
O,$3.89,$4.03,$4.15,$4.51,$4.62,$4.87,$5.01,$5.16,$5.26,$5.38,$5.50,$5.61,$57.99,"₩79,794",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
010-6785-1568-0 종합_주식,,,,,,,,,,,,,,,,
SPLG,,,,,,,,,,,,$0.01,$0.01,₩14,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,총계,"₩2,002,607",,
계,$4.81,$4.03,$17.44,$5.03,$4.62,$6.01,$23.37,$5.16,$6.54,$22.27,$6.11,$24.90,,,,
환산,"₩6,619","₩5,545","₩23,997","₩6,921","₩6,357","₩8,270","₩32,157","₩7,100","₩8,999","₩30,644","₩8,407","₩34,262",,,,
,,,,,,,,,,,,,,,,
총계,"₩107,343","₩97,375","₩121,401","₩96,629","₩121,297","₩165,032","₩215,453","₩213,781","₩191,363","₩195,452","₩211,390","₩266,090",,,,
