,,,,,,,,,,,,,,,,
,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,계,,
010-6785-1568-0 종합_주식,,,,,,,,,,,,,,,,"₩1,376"
SOL 미국매당미국채혼합50,₩510,₩425,₩510,₩459,,,,,,,,,,"₩1,904",,
KB RISE 25-11 회사채,"₩2,755",,,,,,,,,,,,,"₩2,755",,
,,,,,,,,,,,,,,,,
010-6785-1568-1 연금(신),,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,"₩12,958","₩15,390","₩12,005","₩13,720","₩8,970","₩13,494","₩11,798",,,,,,,"₩88,335",,
,,,,,,,,,,,,,,,,
010-6785-1568-2 KB연금,,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,"₩53,162","₩63,135","₩49,315","₩56,360","₩36,634","₩55,068","₩48,144",,,,,,,"₩361,818",,
ACE 미국나스닥,,"₩11,550",,,"₩11,550",,,,,,,,,,,
KODEX 미국나스닥100,,,,,₩264,,,,,,,,,,,
KODEX 미국S&P500,,,,,₩504,,,,,,,,,,,
,,,,,,,,,,,,,,,,
133-46-000462 연금(구),,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,"₩71,060","₩85,455","₩66,710","₩76,240","₩50,232","₩76,440","₩67,694",,,,,,,"₩493,831",,
ACE 미국나스닥,,"₩7,175",,,"₩7,665",,,,,,,,,,,
KODEX 미국S&P500,,,,,"₩4,704",,,,,,,,,,,
,,,,,,,,,,,,,,,,
IRP,,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,"₩36,898","₩43,785","₩34,545","₩39,480","₩25,792","₩30,000","₩34,068",,,,,,,"₩244,568",,
SOL 미국매당미국채혼합50,"₩15,300","₩13,075","₩15,930","₩14,445","₩10,700","₩16,320",,,,,,,,,,
KODEX 미국S&P500,,,,,"₩2,072",,,,,,,,,,,
,,,,,,,,,,,,,,,,
계,"₩192,643","₩239,990","₩179,015","₩200,704","₩159,087","₩191,322","₩161,704",₩0,₩0,₩0,₩0,₩0,,,,
,,,,,,,,,,,,,,,,
직투,,,,,,,,,,,,,계,환산,,
SPLG,$1.07,,,$1.10,,,$1.21,,,,,,$3.38,"₩4,651",,
QQQ(인베스코 QQQ),$0.74,,,,$0.63,,,,,,,,$1.37,"₩1,885",,
QQQM(인베스코 나스닥100),,,$0.58,,,$0.62,,,,,,,$1.20,"₩1,651",,
SCHD,,,,$18.86,,,$31.56,,,,,,$50.42,"₩69,378",,
O,$5.72,$5.78,$5.93,$6.00,$6.06,$6.12,,,,,,,$35.61,"₩48,999",,
,,,,,,,,,,,,,,,,
010-6785-1568-0 직투,,,,,,,,,,,,,,,,
SPLG,$0.03,,,,,,,,,,,,$0.03,₩41,,
,,,,,,,,,,,,,,,,
토스,,,,,,,,,,,,,,,,
SCHD,,,,$0.37,,,,,,,,,$0.37,,,
O,$0.01,$0.01,$0.01,,,,,,,,,,$0.03,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,총계,"₩1,319,817",,
,,,,,,,,,,,,,,,,
계,$7.57,$5.79,$6.52,$26.33,$6.69,$6.74,$32.77,$0.00,$0.00,$0.00,$0.00,$0.00,,,,
환산,"₩10,416","₩7,967","₩8,972","₩36,230","₩9,205","₩9,274","₩45,092",₩0,₩0,₩0,₩0,₩0,,,,
,,,,,,,,,,,,,,,,
총계,"₩203,059","₩247,957","₩187,987","₩236,934","₩168,292","₩200,596","₩206,796",₩0,₩0,₩0,₩0,₩0,,,,
